Time_sec,Load_kN,EXT TR 25_mm,EXT TR 12.5_mm,Displacement_mm,SP-Actuator #01_mm,SV-Actuator #01_,CY-Actuator #01_,
19.063,2.978,26.326,0.000,0.440,-22.165,-22.165,0.000
19.197,2.998,26.326,0.000,0.443,-22.162,-22.162,0.000
19.330,3.016,26.326,0.000,0.446,-22.159,-22.159,0.000
19.463,3.031,26.326,0.000,0.450,-22.155,-22.155,0.000
19.597,3.045,26.326,0.000,0.453,-22.152,-22.152,0.000
19.730,3.057,26.326,0.000,0.456,-22.149,-22.149,0.000
19.863,3.065,26.325,0.000,0.460,-22.145,-22.145,0.000
19.997,3.070,26.326,0.000,0.463,-22.142,-22.142,0.000
20.130,3.074,26.326,0.000,0.466,-22.139,-22.139,0.000
20.263,3.075,26.326,0.000,0.470,-22.135,-22.135,0.000
20.396,3.075,26.325,0.000,0.473,-22.132,-22.132,0.000
20.530,3.075,26.325,0.000,0.476,-22.129,-22.129,0.000
20.663,3.075,26.326,0.000,0.480,-22.125,-22.125,0.000
20.796,3.073,26.326,0.000,0.483,-22.122,-22.122,0.000
20.930,3.072,26.325,0.000,0.486,-22.119,-22.119,0.000
21.063,3.071,26.325,0.000,0.490,-22.115,-22.115,0.000
21.196,3.070,26.325,0.000,0.493,-22.112,-22.112,0.000
21.330,3.069,26.326,0.000,0.496,-22.109,-22.109,0.000
21.463,3.068,26.326,0.000,0.500,-22.105,-22.105,0.000
21.596,3.067,26.326,0.000,0.503,-22.102,-22.102,0.000
21.730,3.067,26.326,0.000,0.506,-22.099,-22.099,0.000
21.863,3.065,26.326,0.000,0.510,-22.095,-22.095,0.000
21.996,3.065,26.326,0.000,0.513,-22.092,-22.092,0.000
22.130,3.064,26.326,0.000,0.516,-22.089,-22.089,0.000
22.263,3.064,26.325,0.000,0.520,-22.085,-22.085,0.000
22.396,3.063,26.325,0.000,0.523,-22.082,-22.082,0.000
22.529,3.062,26.326,0.000,0.526,-22.079,-22.079,0.000
